family,samples,genes,reads,kingdom,phylum,class,order,genus,oxygenstat,metabolism,gram,file
Acidaminococcaceae,ERR260134,645,17871,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260151,645,828,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260154,645,1718,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260161,645,9720,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260166,645,3066,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260173,645,182224,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260174,645,6347,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260180,645,13001,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260185,645,1110,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260186,645,1138,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260195,645,732,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260198,645,1414,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260199,645,965,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260200,645,1012,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
