genus,family,sampleId,jacardDist
Adlercreutzia,Eggerthellaceae,ERR321592,0.308314937
Eggerthella,Eggerthellaceae,ERR321592,0.112334802
Gordonibacter,Eggerthellaceae,ERR321592,0.296541575
Anaerostipes,Lachnospiraceae,ERR321592,0.427766826
Blautia,Lachnospiraceae,ERR321592,0.125316812
Coprococcus,Lachnospiraceae,ERR321592,0.384398761
Lachnoclostridium,Lachnospiraceae,ERR321592,0.108328644
Roseburia,Lachnospiraceae,ERR321592,0.336806533
Barnesiella,Porphyromonadaceae,ERR321592,0.269784173
Odoribacter,Porphyromonadaceae,ERR321592,0.17522066
Parabacteroides,Porphyromonadaceae,ERR321592,0.06276561
Tannerella,Porphyromonadaceae,ERR321592,0.654462243
Faecalibacterium,Ruminococcaceae,ERR321592,0.076350093
Flavonifractor,Ruminococcaceae,ERR321592,0.439013035
Citrobacter,Enterobacteriaceae,ERR321592,0.053373615
Escherichia,Enterobacteriaceae,ERR321592,0.100704935
Shigella,Enterobacteriaceae,ERR321592,0.376972138
Adlercreutzia,Eggerthellaceae,ERR321602,0.199318569
Gordonibacter,Eggerthellaceae,ERR321602,0.185689949
Anaerostipes,Lachnospiraceae,ERR321602,0.430014025
Blautia,Lachnospiraceae,ERR321602,0.128751753
Coprococcus,Lachnospiraceae,ERR321602,0.386816269
Lachnoclostridium,Lachnospiraceae,ERR321602,0.111827354
Roseburia,Lachnospiraceae,ERR321602,0.33941094
Butyrivibrio,Lachnospiraceae,ERR321602,0.469004208
Barnesiella,Porphyromonadaceae,ERR321602,0.288626951
Odoribacter,Porphyromonadaceae,ERR321602,0.196496815
Parabacteroides,Porphyromonadaceae,ERR321602,0.086942675
Porphyromonas,Porphyromonadaceae,ERR321602,0.567515924
Collinsella,Coriobacteriaceae,ERR321602,0.087213343
Olsenella,Coriobacteriaceae,ERR321602,0.508339124
Faecalibacterium,Ruminococcaceae,ERR321602,0.076350093
Flavonifractor,Ruminococcaceae,ERR321602,0.439013035
Peptostreptococcus,Peptostreptococcaceae,ERR321602,0.394188862
Clostridioides,Peptostreptococcaceae,ERR321602,0.108906099
Adlercreutzia,Eggerthellaceae,ERR321606,0.308314937
Eggerthella,Eggerthellaceae,ERR321606,0.112334802
Gordonibacter,Eggerthellaceae,ERR321606,0.296541575
Anaerostipes,Lachnospiraceae,ERR321606,0.430014025
Blautia,Lachnospiraceae,ERR321606,0.128751753
Coprococcus,Lachnospiraceae,ERR321606,0.386816269
Lachnoclostridium,Lachnospiraceae,ERR321606,0.111827354
Roseburia,Lachnospiraceae,ERR321606,0.33941094
Butyrivibrio,Lachnospiraceae,ERR321606,0.469004208
Barnesiella,Porphyromonadaceae,ERR321606,0.292458809
Odoribacter,Porphyromonadaceae,ERR321606,0.200823567
Parabacteroides,Porphyromonadaceae,ERR321606,0.09185936
Porphyromonas,Porphyromonadaceae,ERR321606,0.569844789
Tannerella,Porphyromonadaceae,ERR321606,0.66518847
Collinsella,Coriobacteriaceae,ERR321606,0.087213343
Olsenella,Coriobacteriaceae,ERR321606,0.508339124
Faecalibacterium,Ruminococcaceae,ERR321606,0.076350093
Flavonifractor,Ruminococcaceae,ERR321606,0.439013035
Citrobacter,Enterobacteriaceae,ERR321606,0.053691275
Enterobacter,Enterobacteriaceae,ERR321606,0.116778523
Klebsiella,Enterobacteriaceae,ERR321606,0.117449664
Kluyvera,Enterobacteriaceae,ERR321606,0.402684564
Anaerostipes,Lachnospiraceae,ERR321608,0.430014025
Blautia,Lachnospiraceae,ERR321608,0.128751753
Coprococcus,Lachnospiraceae,ERR321608,0.386816269
Lachnoclostridium,Lachnospiraceae,ERR321608,0.111827354
Roseburia,Lachnospiraceae,ERR321608,0.33941094
Butyrivibrio,Lachnospiraceae,ERR321608,0.469004208
Barnesiella,Porphyromonadaceae,ERR321608,0.261329805
Odoribacter,Porphyromonadaceae,ERR321608,0.165674603
Parabacteroides,Porphyromonadaceae,ERR321608,0.051917989
Eggerthella,Eggerthellaceae,ERR321608,0.074272588
Gordonibacter,Eggerthellaceae,ERR321608,0.266308519
Faecalibacterium,Ruminococcaceae,ERR321608,0.076350093
Flavonifractor,Ruminococcaceae,ERR321608,0.439013035
Adlercreutzia,Eggerthellaceae,ERR321612,0.199318569
Gordonibacter,Eggerthellaceae,ERR321612,0.185689949
Anaerostipes,Lachnospiraceae,ERR321612,0.427766826
Blautia,Lachnospiraceae,ERR321612,0.125316812
Coprococcus,Lachnospiraceae,ERR321612,0.384398761
Lachnoclostridium,Lachnospiraceae,ERR321612,0.108328644
Roseburia,Lachnospiraceae,ERR321612,0.336806533
Barnesiella,Porphyromonadaceae,ERR321612,0.261329805
Odoribacter,Porphyromonadaceae,ERR321612,0.165674603
Parabacteroides,Porphyromonadaceae,ERR321612,0.051917989
Faecalibacterium,Ruminococcaceae,ERR321612,0.076350093
Flavonifractor,Ruminococcaceae,ERR321612,0.439013035
Adlercreutzia,Eggerthellaceae,ERR321614,0.199318569
Gordonibacter,Eggerthellaceae,ERR321614,0.185689949
Anaerostipes,Lachnospiraceae,ERR321614,0.430014025
Blautia,Lachnospiraceae,ERR321614,0.128751753
