model1,model2,sampleId,jacardDist
Actinomycetaceae,Bacteroidaceae,ERR260132,0.372881356
Actinomycetaceae,Bifidobacteriaceae,ERR260132,0.318778539
Actinomycetaceae,Clostridiaceae,ERR260132,0.329790061
Actinomycetaceae,Coriobacteriaceae,ERR260132,0.332464524
Actinomycetaceae,Eggerthellaceae,ERR260132,0.6329663
Actinomycetaceae,Erysipelotrichaceae,ERR260132,0.318051576
Actinomycetaceae,Lachnospiraceae,ERR260132,0.330643062
Actinomycetaceae,Lactobacillaceae,ERR260132,0.286981402
Actinomycetaceae,Pasteurellaceae,ERR260132,0.529372046
Actinomycetaceae,Peptostreptococcaceae,ERR260132,0.410810811
Actinomycetaceae,Porphyromonadaceae,ERR260132,0.298225529
Actinomycetaceae,Rikenellaceae,ERR260132,0.320560748
Actinomycetaceae,Ruminococcaceae,ERR260132,0.289761571
Actinomycetaceae,Streptococcaceae,ERR260132,0.344706912
Actinomycetaceae,Veillonellaceae,ERR260132,0.430551371
Bacteroidaceae,Bifidobacteriaceae,ERR260132,0.328068358
Bacteroidaceae,Clostridiaceae,ERR260132,0.237458194
Bacteroidaceae,Coriobacteriaceae,ERR260132,0.272603114
Bacteroidaceae,Eggerthellaceae,ERR260132,0.704362323
Bacteroidaceae,Erysipelotrichaceae,ERR260132,0.240087503
Bacteroidaceae,Lachnospiraceae,ERR260132,0.231626964
Bacteroidaceae,Lactobacillaceae,ERR260132,0.278697137
Bacteroidaceae,Pasteurellaceae,ERR260132,0.624371157
Bacteroidaceae,Peptostreptococcaceae,ERR260132,0.455983131
Bacteroidaceae,Porphyromonadaceae,ERR260132,0.174376227
Bacteroidaceae,Rikenellaceae,ERR260132,0.264782989
Bacteroidaceae,Ruminococcaceae,ERR260132,0.248883049
Bacteroidaceae,Streptococcaceae,ERR260132,0.328334226
Bacteroidaceae,Veillonellaceae,ERR260132,0.423853712
Bifidobacteriaceae,Clostridiaceae,ERR260132,0.296692112
Bifidobacteriaceae,Coriobacteriaceae,ERR260132,0.296879315
Bifidobacteriaceae,Eggerthellaceae,ERR260132,0.693534358
Bifidobacteriaceae,Erysipelotrichaceae,ERR260132,0.273577124
Bifidobacteriaceae,Lachnospiraceae,ERR260132,0.29475
Bifidobacteriaceae,Lactobacillaceae,ERR260132,0.247671233
Bifidobacteriaceae,Pasteurellaceae,ERR260132,0.625216388
Bifidobacteriaceae,Peptostreptococcaceae,ERR260132,0.449551265
Bifidobacteriaceae,Porphyromonadaceae,ERR260132,0.272628432
Bifidobacteriaceae,Rikenellaceae,ERR260132,0.300117233
Bifidobacteriaceae,Ruminococcaceae,ERR260132,0.252484555
Bifidobacteriaceae,Streptococcaceae,ERR260132,0.30690039
Bifidobacteriaceae,Veillonellaceae,ERR260132,0.403523728
Clostridiaceae,Coriobacteriaceae,ERR260132,0.220021704
Clostridiaceae,Eggerthellaceae,ERR260132,0.674242424
Clostridiaceae,Erysipelotrichaceae,ERR260132,0.160694598
Clostridiaceae,Lachnospiraceae,ERR260132,0.1225605
Clostridiaceae,Lactobacillaceae,ERR260132,0.202276939
Clostridiaceae,Pasteurellaceae,ERR260132,0.605675676
Clostridiaceae,Peptostreptococcaceae,ERR260132,0.341496599
Clostridiaceae,Porphyromonadaceae,ERR260132,0.227213029
Clostridiaceae,Rikenellaceae,ERR260132,0.305798687
Clostridiaceae,Ruminococcaceae,ERR260132,0.173636845
Clostridiaceae,Streptococcaceae,ERR260132,0.257865017
Clostridiaceae,Veillonellaceae,ERR260132,0.363636364
Coriobacteriaceae,Eggerthellaceae,ERR260132,0.623977344
Coriobacteriaceae,Erysipelotrichaceae,ERR260132,0.173551263
Coriobacteriaceae,Lachnospiraceae,ERR260132,0.224110462
Coriobacteriaceae,Lactobacillaceae,ERR260132,0.242211619
Coriobacteriaceae,Pasteurellaceae,ERR260132,0.583052921
Coriobacteriaceae,Peptostreptococcaceae,ERR260132,0.3926097
Coriobacteriaceae,Porphyromonadaceae,ERR260132,0.268781302
Coriobacteriaceae,Rikenellaceae,ERR260132,0.296663661
Coriobacteriaceae,Ruminococcaceae,ERR260132,0.245802367
Coriobacteriaceae,Streptococcaceae,ERR260132,0.296995708
Coriobacteriaceae,Veillonellaceae,ERR260132,0.397136178
Eggerthellaceae,Erysipelotrichaceae,ERR260132,0.668744435
Eggerthellaceae,Lachnospiraceae,ERR260132,0.658393381
Eggerthellaceae,Lactobacillaceae,ERR260132,0.663763066
Eggerthellaceae,Pasteurellaceae,ERR260132,0.46776689
Eggerthellaceae,Peptostreptococcaceae,ERR260132,0.558302583
Eggerthellaceae,Porphyromonadaceae,ERR260132,0.661678404
Eggerthellaceae,Rikenellaceae,ERR260132,0.67963085
Eggerthellaceae,Ruminococcaceae,ERR260132,0.657167284
Eggerthellaceae,Streptococcaceae,ERR260132,0.650204467
Eggerthellaceae,Veillonellaceae,ERR260132,0.582128291
Erysipelotrichaceae,Lachnospiraceae,ERR260132,0.176454814
Erysipelotrichaceae,Lactobacillaceae,ERR260132,0.198643685
Erysipelotrichaceae,Pasteurellaceae,ERR260132,0.590612002
Erysipelotrichaceae,Peptostreptococcaceae,ERR260132,0.374356039
Erysipelotrichaceae,Porphyromonadaceae,ERR260132,0.232207647
Erysipelotrichaceae,Rikenellaceae,ERR260132,0.257237636
Erysipelotrichaceae,Ruminococcaceae,ERR260132,0.198611111
Erysipelotrichaceae,Streptococcaceae,ERR260132,0.247398844
Erysipelotrichaceae,Veillonellaceae,ERR260132,0.369172494
Lachnospiraceae,Lactobacillaceae,ERR260132,0.218186502
Lachnospiraceae,Pasteurellaceae,ERR260132,0.60748156
Lachnospiraceae,Peptostreptococcaceae,ERR260132,0.35483871
Lachnospiraceae,Porphyromonadaceae,ERR260132,0.23375289
Lachnospiraceae,Rikenellaceae,ERR260132,0.3144
Lachnospiraceae,Ruminococcaceae,ERR260132,0.156610703
Lachnospiraceae,Streptococcaceae,ERR260132,0.270680628
Lachnospiraceae,Veillonellaceae,ERR260132,0.369888476
Lactobacillaceae,Pasteurellaceae,ERR260132,0.57490472
Lactobacillaceae,Peptostreptococcaceae,ERR260132,0.370255834
Lactobacillaceae,Porphyromonadaceae,ERR260132,0.198044693
Lactobacillaceae,Rikenellaceae,ERR260132,0.265372168
Lactobacillaceae,Ruminococcaceae,ERR260132,0.179762889
Lactobacillaceae,Streptococcaceae,ERR260132,0.187921431
Lactobacillaceae,Veillonellaceae,ERR260132,0.341845618
Pasteurellaceae,Peptostreptococcaceae,ERR260132,0.506810036
Pasteurellaceae,Porphyromonadaceae,ERR260132,0.572697661
Pasteurellaceae,Rikenellaceae,ERR260132,0.589616402
Pasteurellaceae,Ruminococcaceae,ERR260132,0.58295325
Pasteurellaceae,Streptococcaceae,ERR260132,0.541666667
Pasteurellaceae,Veillonellaceae,ERR260132,0.502750275
Peptostreptococcaceae,Porphyromonadaceae,ERR260132,0.378591549
Peptostreptococcaceae,Rikenellaceae,ERR260132,0.440011998
Peptostreptococcaceae,Ruminococcaceae,ERR260132,0.344450673
Peptostreptococcaceae,Streptococcaceae,ERR260132,0.41810842
Peptostreptococcaceae,Veillonellaceae,ERR260132,0.405654384
Porphyromonadaceae,Rikenellaceae,ERR260132,0.208932395
Porphyromonadaceae,Ruminococcaceae,ERR260132,0.183051786
Porphyromonadaceae,Streptococcaceae,ERR260132,0.255681818
Porphyromonadaceae,Veillonellaceae,ERR260132,0.350392556
Rikenellaceae,Ruminococcaceae,ERR260132,0.255591054
Rikenellaceae,Streptococcaceae,ERR260132,0.315233786
Rikenellaceae,Veillonellaceae,ERR260132,0.379867047
Ruminococcaceae,Streptococcaceae,ERR260132,0.24027972
Ruminococcaceae,Veillonellaceae,ERR260132,0.323546344
Streptococcaceae,Veillonellaceae,ERR260132,0.309978104
Acidaminococcaceae,Actinomycetaceae,ERR260134,0.571234274
Acidaminococcaceae,Bacteroidaceae,ERR260134,0.653867871
Acidaminococcaceae,Bifidobacteriaceae,ERR260134,0.642226148
Acidaminococcaceae,Clostridiaceae,ERR260134,0.616639027
Acidaminococcaceae,Coriobacteriaceae,ERR260134,0.596238245
Acidaminococcaceae,Desulfovibrionaceae,ERR260134,0.396585366
Acidaminococcaceae,Eggerthellaceae,ERR260134,0.408474576
Acidaminococcaceae,Enterobacteriaceae,ERR260134,0.625538793
Acidaminococcaceae,Enterococcaceae,ERR260134,0.544239798
Acidaminococcaceae,Erysipelotrichaceae,ERR260134,0.609090909
Acidaminococcaceae,Lachnospiraceae,ERR260134,0.613347744
Acidaminococcaceae,Lactobacillaceae,ERR260134,0.610274579
Acidaminococcaceae,Leuconostocaceae,ERR260134,0.535010482
Acidaminococcaceae,Micrococcaceae,ERR260134,0.395384615
Acidaminococcaceae,Pasteurellaceae,ERR260134,0.37592397
Acidaminococcaceae,Peptoniphilaceae,ERR260134,0.318081588
Acidaminococcaceae,Peptostreptococcaceae,ERR260134,0.498502994
Acidaminococcaceae,Porphyromonadaceae,ERR260134,0.60089955
Acidaminococcaceae,Propionibacteriaceae,ERR260134,0.369684842
Acidaminococcaceae,Rikenellaceae,ERR260134,0.609269283
Acidaminococcaceae,Ruminococcaceae,ERR260134,0.579893868
Acidaminococcaceae,Selenomonadaceae,ERR260134,0.494219653
Acidaminococcaceae,Staphylococcaceae,ERR260134,0.404882543
Acidaminococcaceae,Streptococcaceae,ERR260134,0.57457847
Acidaminococcaceae,Veillonellaceae,ERR260134,0.471206226
Actinomycetaceae,Bacteroidaceae,ERR260134,0.372881356
Actinomycetaceae,Bifidobacteriaceae,ERR260134,0.318778539
Actinomycetaceae,Clostridiaceae,ERR260134,0.329790061
Actinomycetaceae,Coriobacteriaceae,ERR260134,0.332464524
Actinomycetaceae,Desulfovibrionaceae,ERR260134,0.523440026
Actinomycetaceae,Eggerthellaceae,ERR260134,0.6329663
Actinomycetaceae,Enterobacteriaceae,ERR260134,0.403701851
Actinomycetaceae,Enterococcaceae,ERR260134,0.42637037
Actinomycetaceae,Erysipelotrichaceae,ERR260134,0.318051576
Actinomycetaceae,Lachnospiraceae,ERR260134,0.330643062
Actinomycetaceae,Lactobacillaceae,ERR260134,0.286981402
Actinomycetaceae,Leuconostocaceae,ERR260134,0.452010376
Actinomycetaceae,Micrococcaceae,ERR260134,0.459468903
Actinomycetaceae,Pasteurellaceae,ERR260134,0.529372046
Actinomycetaceae,Peptoniphilaceae,ERR260134,0.528372409
Actinomycetaceae,Peptostreptococcaceae,ERR260134,0.410810811
Actinomycetaceae,Porphyromonadaceae,ERR260134,0.298225529
Actinomycetaceae,Propionibacteriaceae,ERR260134,0.462919065
Actinomycetaceae,Rikenellaceae,ERR260134,0.320560748
Actinomycetaceae,Ruminococcaceae,ERR260134,0.289761571
Actinomycetaceae,Selenomonadaceae,ERR260134,0.459831197
Actinomycetaceae,Staphylococcaceae,ERR260134,0.481754161
Actinomycetaceae,Streptococcaceae,ERR260134,0.344706912
Actinomycetaceae,Veillonellaceae,ERR260134,0.430551371
Bacteroidaceae,Bifidobacteriaceae,ERR260134,0.328068358
Bacteroidaceae,Clostridiaceae,ERR260134,0.237458194
Bacteroidaceae,Coriobacteriaceae,ERR260134,0.272603114
Bacteroidaceae,Desulfovibrionaceae,ERR260134,0.556118143
Bacteroidaceae,Eggerthellaceae,ERR260134,0.704362323
Bacteroidaceae,Enterobacteriaceae,ERR260134,0.313592233
Bacteroidaceae,Enterococcaceae,ERR260134,0.407317073
Bacteroidaceae,Erysipelotrichaceae,ERR260134,0.240087503
Bacteroidaceae,Lachnospiraceae,ERR260134,0.231626964
Bacteroidaceae,Lactobacillaceae,ERR260134,0.278697137
Bacteroidaceae,Leuconostocaceae,ERR260134,0.517490283
Bacteroidaceae,Micrococcaceae,ERR260134,0.654314309
Bacteroidaceae,Pasteurellaceae,ERR260134,0.624371157
Bacteroidaceae,Peptoniphilaceae,ERR260134,0.64198558
Bacteroidaceae,Peptostreptococcaceae,ERR260134,0.455983131
Bacteroidaceae,Porphyromonadaceae,ERR260134,0.174376227
Bacteroidaceae,Propionibacteriaceae,ERR260134,0.60442865
Bacteroidaceae,Rikenellaceae,ERR260134,0.264782989
Bacteroidaceae,Ruminococcaceae,ERR260134,0.248883049
Bacteroidaceae,Selenomonadaceae,ERR260134,0.452676056
Bacteroidaceae,Staphylococcaceae,ERR260134,0.620322245
Bacteroidaceae,Streptococcaceae,ERR260134,0.328334226
Bacteroidaceae,Veillonellaceae,ERR260134,0.423853712
Bifidobacteriaceae,Clostridiaceae,ERR260134,0.296692112
Bifidobacteriaceae,Coriobacteriaceae,ERR260134,0.296879315
Bifidobacteriaceae,Desulfovibrionaceae,ERR260134,0.573803382
Bifidobacteriaceae,Eggerthellaceae,ERR260134,0.693534358
Bifidobacteriaceae,Enterobacteriaceae,ERR260134,0.400988933
Bifidobacteriaceae,Enterococcaceae,ERR260134,0.393709632
Bifidobacteriaceae,Erysipelotrichaceae,ERR260134,0.273577124
Bifidobacteriaceae,Lachnospiraceae,ERR260134,0.29475
Bifidobacteriaceae,Lactobacillaceae,ERR260134,0.247671233
Bifidobacteriaceae,Leuconostocaceae,ERR260134,0.468833087
Bifidobacteriaceae,Micrococcaceae,ERR260134,0.608318891
Bifidobacteriaceae,Pasteurellaceae,ERR260134,0.625216388
Bifidobacteriaceae,Peptoniphilaceae,ERR260134,0.62489121
Bifidobacteriaceae,Peptostreptococcaceae,ERR260134,0.449551265
Bifidobacteriaceae,Porphyromonadaceae,ERR260134,0.272628432
Bifidobacteriaceae,Propionibacteriaceae,ERR260134,0.583046964
Bifidobacteriaceae,Rikenellaceae,ERR260134,0.300117233
Bifidobacteriaceae,Ruminococcaceae,ERR260134,0.252484555
Bifidobacteriaceae,Selenomonadaceae,ERR260134,0.429664509
Bifidobacteriaceae,Staphylococcaceae,ERR260134,0.600380331
Bifidobacteriaceae,Streptococcaceae,ERR260134,0.30690039
Bifidobacteriaceae,Veillonellaceae,ERR260134,0.403523728
Clostridiaceae,Coriobacteriaceae,ERR260134,0.220021704
Clostridiaceae,Desulfovibrionaceae,ERR260134,0.530779754
Clostridiaceae,Eggerthellaceae,ERR260134,0.674242424
Clostridiaceae,Enterobacteriaceae,ERR260134,0.270758123
Clostridiaceae,Enterococcaceae,ERR260134,0.336326531
Clostridiaceae,Erysipelotrichaceae,ERR260134,0.160694598
Clostridiaceae,Lachnospiraceae,ERR260134,0.1225605
Clostridiaceae,Lactobacillaceae,ERR260134,0.202276939
Clostridiaceae,Leuconostocaceae,ERR260134,0.458966565
Clostridiaceae,Micrococcaceae,ERR260134,0.611984021
Clostridiaceae,Pasteurellaceae,ERR260134,0.605675676
Clostridiaceae,Peptoniphilaceae,ERR260134,0.572699472
Clostridiaceae,Peptostreptococcaceae,ERR260134,0.341496599
Clostridiaceae,Porphyromonadaceae,ERR260134,0.227213029
Clostridiaceae,Propionibacteriaceae,ERR260134,0.565520945
Clostridiaceae,Rikenellaceae,ERR260134,0.305798687
Clostridiaceae,Ruminococcaceae,ERR260134,0.173636845
Clostridiaceae,Selenomonadaceae,ERR260134,0.411422235
Clostridiaceae,Staphylococcaceae,ERR260134,0.533580116
Clostridiaceae,Streptococcaceae,ERR260134,0.257865017
Clostridiaceae,Veillonellaceae,ERR260134,0.363636364
Coriobacteriaceae,Desulfovibrionaceae,ERR260134,0.508928571
Coriobacteriaceae,Eggerthellaceae,ERR260134,0.623977344
Coriobacteriaceae,Enterobacteriaceae,ERR260134,0.336331834
Coriobacteriaceae,Enterococcaceae,ERR260134,0.3829233
Coriobacteriaceae,Erysipelotrichaceae,ERR260134,0.173551263
Coriobacteriaceae,Lachnospiraceae,ERR260134,0.224110462
Coriobacteriaceae,Lactobacillaceae,ERR260134,0.242211619
Coriobacteriaceae,Leuconostocaceae,ERR260134,0.478457367
Coriobacteriaceae,Micrococcaceae,ERR260134,0.601074948
Coriobacteriaceae,Pasteurellaceae,ERR260134,0.583052921
Coriobacteriaceae,Peptoniphilaceae,ERR260134,0.573684211
Coriobacteriaceae,Peptostreptococcaceae,ERR260134,0.3926097
Coriobacteriaceae,Porphyromonadaceae,ERR260134,0.268781302
Coriobacteriaceae,Propionibacteriaceae,ERR260134,0.567390658
Coriobacteriaceae,Rikenellaceae,ERR260134,0.296663661
Coriobacteriaceae,Ruminococcaceae,ERR260134,0.245802367
Coriobacteriaceae,Selenomonadaceae,ERR260134,0.422377198
Coriobacteriaceae,Staphylococcaceae,ERR260134,0.557344064
Coriobacteriaceae,Streptococcaceae,ERR260134,0.296995708
Coriobacteriaceae,Veillonellaceae,ERR260134,0.397136178
Desulfovibrionaceae,Eggerthellaceae,ERR260134,0.488361045
Desulfovibrionaceae,Enterobacteriaceae,ERR260134,0.525222552
Desulfovibrionaceae,Enterococcaceae,ERR260134,0.425501433
Desulfovibrionaceae,Erysipelotrichaceae,ERR260134,0.526613143
Desulfovibrionaceae,Lachnospiraceae,ERR260134,0.531784188
Desulfovibrionaceae,Lactobacillaceae,ERR260134,0.508673919
Desulfovibrionaceae,Leuconostocaceae,ERR260134,0.524847095
Desulfovibrionaceae,Micrococcaceae,ERR260134,0.472234368
Desulfovibrionaceae,Pasteurellaceae,ERR260134,0.417931034
Desulfovibrionaceae,Peptoniphilaceae,ERR260134,0.435897436
Desulfovibrionaceae,Peptostreptococcaceae,ERR260134,0.390808824
Desulfovibrionaceae,Porphyromonadaceae,ERR260134,0.508449452
Desulfovibrionaceae,Propionibacteriaceae,ERR260134,0.428447528
Desulfovibrionaceae,Rikenellaceae,ERR260134,0.530049261
Desulfovibrionaceae,Ruminococcaceae,ERR260134,0.500144718
Desulfovibrionaceae,Selenomonadaceae,ERR260134,0.430973797
Desulfovibrionaceae,Staphylococcaceae,ERR260134,0.444534742
Desulfovibrionaceae,Streptococcaceae,ERR260134,0.47696737
Desulfovibrionaceae,Veillonellaceae,ERR260134,0.41374215
Eggerthellaceae,Enterobacteriaceae,ERR260134,0.665687583
Eggerthellaceae,Enterococcaceae,ERR260134,0.612720848
Eggerthellaceae,Erysipelotrichaceae,ERR260134,0.668744435
Eggerthellaceae,Lachnospiraceae,ERR260134,0.658393381
Eggerthellaceae,Lactobacillaceae,ERR260134,0.663763066
Eggerthellaceae,Leuconostocaceae,ERR260134,0.605349794
Eggerthellaceae,Micrococcaceae,ERR260134,0.493273543
Eggerthellaceae,Pasteurellaceae,ERR260134,0.46776689
Eggerthellaceae,Peptoniphilaceae,ERR260134,0.471991701
Eggerthellaceae,Peptostreptococcaceae,ERR260134,0.558302583
Eggerthellaceae,Porphyromonadaceae,ERR260134,0.661678404
Eggerthellaceae,Propionibacteriaceae,ERR260134,0.449360865
Eggerthellaceae,Rikenellaceae,ERR260134,0.67963085
Eggerthellaceae,Ruminococcaceae,ERR260134,0.657167284
Eggerthellaceae,Selenomonadaceae,ERR260134,0.612612613
Eggerthellaceae,Staphylococcaceae,ERR260134,0.506891952
Eggerthellaceae,Streptococcaceae,ERR260134,0.650204467
Eggerthellaceae,Veillonellaceae,ERR260134,0.582128291
Enterobacteriaceae,Enterococcaceae,ERR260134,0.366386113
Enterobacteriaceae,Erysipelotrichaceae,ERR260134,0.315501368
Enterobacteriaceae,Lachnospiraceae,ERR260134,0.270577105
Enterobacteriaceae,Lactobacillaceae,ERR260134,0.315313112
Enterobacteriaceae,Leuconostocaceae,ERR260134,0.475960247
Enterobacteriaceae,Micrococcaceae,ERR260134,0.582376502
Enterobacteriaceae,Pasteurellaceae,ERR260134,0.573677069
Enterobacteriaceae,Peptoniphilaceae,ERR260134,0.603949827
Enterobacteriaceae,Peptostreptococcaceae,ERR260134,0.394607208
Enterobacteriaceae,Porphyromonadaceae,ERR260134,0.310880829
Enterobacteriaceae,Propionibacteriaceae,ERR260134,0.548051255
Enterobacteriaceae,Rikenellaceae,ERR260134,0.41376702
Enterobacteriaceae,Ruminococcaceae,ERR260134,0.30128672
Enterobacteriaceae,Selenomonadaceae,ERR260134,0.429380054
Enterobacteriaceae,Staphylococcaceae,ERR260134,0.516171444
Enterobacteriaceae,Streptococcaceae,ERR260134,0.378298397
Enterobacteriaceae,Veillonellaceae,ERR260134,0.383862434
Enterococcaceae,Erysipelotrichaceae,ERR260134,0.337029472
Enterococcaceae,Lachnospiraceae,ERR260134,0.356333948
Enterococcaceae,Lactobacillaceae,ERR260134,0.270077335
Enterococcaceae,Leuconostocaceae,ERR260134,0.299593646
Enterococcaceae,Micrococcaceae,ERR260134,0.536096718
Enterococcaceae,Pasteurellaceae,ERR260134,0.505357143
Enterococcaceae,Peptoniphilaceae,ERR260134,0.486722445
Enterococcaceae,Peptostreptococcaceae,ERR260134,0.400687071
Enterococcaceae,Porphyromonadaceae,ERR260134,0.347166571
Enterococcaceae,Propionibacteriaceae,ERR260134,0.474327628
Enterococcaceae,Rikenellaceae,ERR260134,0.381897086
Enterococcaceae,Ruminococcaceae,ERR260134,0.325515682
Enterococcaceae,Selenomonadaceae,ERR260134,0.269916333
Enterococcaceae,Staphylococcaceae,ERR260134,0.433710175
Enterococcaceae,Streptococcaceae,ERR260134,0.242898181
Enterococcaceae,Veillonellaceae,ERR260134,0.231660232
Erysipelotrichaceae,Lachnospiraceae,ERR260134,0.176454814
Erysipelotrichaceae,Lactobacillaceae,ERR260134,0.198643685
Erysipelotrichaceae,Leuconostocaceae,ERR260134,0.433859223
Erysipelotrichaceae,Micrococcaceae,ERR260134,0.617579251
Erysipelotrichaceae,Pasteurellaceae,ERR260134,0.590612002
Erysipelotrichaceae,Peptoniphilaceae,ERR260134,0.550675676
Erysipelotrichaceae,Peptostreptococcaceae,ERR260134,0.374356039
Erysipelotrichaceae,Porphyromonadaceae,ERR260134,0.232207647
Erysipelotrichaceae,Propionibacteriaceae,ERR260134,0.589868346
Erysipelotrichaceae,Rikenellaceae,ERR260134,0.257237636
Erysipelotrichaceae,Ruminococcaceae,ERR260134,0.198611111
Erysipelotrichaceae,Selenomonadaceae,ERR260134,0.404861945
Erysipelotrichaceae,Staphylococcaceae,ERR260134,0.550974301
Erysipelotrichaceae,Streptococcaceae,ERR260134,0.247398844
Erysipelotrichaceae,Veillonellaceae,ERR260134,0.369172494
Lachnospiraceae,Lactobacillaceae,ERR260134,0.218186502
Lachnospiraceae,Leuconostocaceae,ERR260134,0.474458411
Lachnospiraceae,Micrococcaceae,ERR260134,0.607822686
Lachnospiraceae,Pasteurellaceae,ERR260134,0.60748156
Lachnospiraceae,Peptoniphilaceae,ERR260134,0.582322824
Lachnospiraceae,Peptostreptococcaceae,ERR260134,0.35483871
Lachnospiraceae,Porphyromonadaceae,ERR260134,0.23375289
Lachnospiraceae,Propionibacteriaceae,ERR260134,0.567574646
Lachnospiraceae,Rikenellaceae,ERR260134,0.3144
Lachnospiraceae,Ruminococcaceae,ERR260134,0.156610703
Lachnospiraceae,Selenomonadaceae,ERR260134,0.420868159
Lachnospiraceae,Staphylococcaceae,ERR260134,0.533350569
Lachnospiraceae,Streptococcaceae,ERR260134,0.270680628
Lachnospiraceae,Veillonellaceae,ERR260134,0.369888476
Lactobacillaceae,Leuconostocaceae,ERR260134,0.392509135
Lactobacillaceae,Micrococcaceae,ERR260134,0.596801828
Lactobacillaceae,Pasteurellaceae,ERR260134,0.57490472
Lactobacillaceae,Peptoniphilaceae,ERR260134,0.563706564
Lactobacillaceae,Peptostreptococcaceae,ERR260134,0.370255834
Lactobacillaceae,Porphyromonadaceae,ERR260134,0.198044693
Lactobacillaceae,Propionibacteriaceae,ERR260134,0.540086831
Lactobacillaceae,Rikenellaceae,ERR260134,0.265372168
Lactobacillaceae,Ruminococcaceae,ERR260134,0.179762889
Lactobacillaceae,Selenomonadaceae,ERR260134,0.387173397
Lactobacillaceae,Staphylococcaceae,ERR260134,0.498426323
Lactobacillaceae,Streptococcaceae,ERR260134,0.187921431
Lactobacillaceae,Veillonellaceae,ERR260134,0.341845618
