family,order,sampleId,jacardDist
Actinomycetaceae,Actinomycetales,ERR260154,0.043979058
Micrococcaceae,Actinomycetales,ERR260154,0.418499127
Bacteroidaceae,Bacteroidales,ERR260154,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260154,0.116689655
Rikenellaceae,Bacteroidales,ERR260154,0.269793103
Clostridiaceae,Clostridiales,ERR260154,0.116928447
Lachnospiraceae,Clostridiales,ERR260154,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260154,0.366127024
Ruminococcaceae,Clostridiales,ERR260154,0.164257228
Lactobacillaceae,Lactobacillales,ERR260154,0.050366032
Streptococcaceae,Lactobacillales,ERR260154,0.140890451
Actinomycetaceae,Actinomycetales,ERR260158,0.043979058
Micrococcaceae,Actinomycetales,ERR260158,0.418499127
Bacteroidaceae,Bacteroidales,ERR260158,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260158,0.116689655
Rikenellaceae,Bacteroidales,ERR260158,0.269793103
Clostridiaceae,Clostridiales,ERR260158,0.116928447
Lachnospiraceae,Clostridiales,ERR260158,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260158,0.366127024
Ruminococcaceae,Clostridiales,ERR260158,0.164257228
Lactobacillaceae,Lactobacillales,ERR260158,0.050366032
Streptococcaceae,Lactobacillales,ERR260158,0.140890451
Bacteroidaceae,Bacteroidales,ERR260161,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260161,0.116689655
Rikenellaceae,Bacteroidales,ERR260161,0.269793103
Clostridiaceae,Clostridiales,ERR260161,0.116928447
Lachnospiraceae,Clostridiales,ERR260161,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260161,0.366127024
Ruminococcaceae,Clostridiales,ERR260161,0.164257228
Lactobacillaceae,Lactobacillales,ERR260161,0.058362369
Leuconostocaceae,Lactobacillales,ERR260161,0.410107464
Streptococcaceae,Lactobacillales,ERR260161,0.148126634
Actinomycetaceae,Actinomycetales,ERR260162,0.043979058
Micrococcaceae,Actinomycetales,ERR260162,0.418499127
Bacteroidaceae,Bacteroidales,ERR260162,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260162,0.116689655
Rikenellaceae,Bacteroidales,ERR260162,0.269793103
Clostridiaceae,Clostridiales,ERR260162,0.116928447
Lachnospiraceae,Clostridiales,ERR260162,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260162,0.366127024
Ruminococcaceae,Clostridiales,ERR260162,0.164257228
Enterococcaceae,Lactobacillales,ERR260162,0.269208879
Lactobacillaceae,Lactobacillales,ERR260162,0.077382646
Leuconostocaceae,Lactobacillales,ERR260162,0.422026181
Streptococcaceae,Lactobacillales,ERR260162,0.165338645
Actinomycetaceae,Actinomycetales,ERR260164,0.124920128
Corynebacteriaceae,Actinomycetales,ERR260164,0.336741214
Micrococcaceae,Actinomycetales,ERR260164,0.467731629
Bacteroidaceae,Bacteroidales,ERR260164,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260164,0.116689655
Rikenellaceae,Bacteroidales,ERR260164,0.269793103
Clostridiaceae,Clostridiales,ERR260164,0.105781368
Lachnospiraceae,Clostridiales,ERR260164,0.075662043
Ruminococcaceae,Clostridiales,ERR260164,0.153710247
Lactobacillaceae,Lactobacillales,ERR260164,0.050366032
Streptococcaceae,Lactobacillales,ERR260164,0.140890451
Bacteroidaceae,Bacteroidales,ERR260165,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260165,0.135062129
Prevotellaceae,Bacteroidales,ERR260165,0.212317666
Rikenellaceae,Bacteroidales,ERR260165,0.284981091
Clostridiaceae,Clostridiales,ERR260165,0.116928447
Lachnospiraceae,Clostridiales,ERR260165,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260165,0.366127024
Ruminococcaceae,Clostridiales,ERR260165,0.164257228
Lactobacillaceae,Lactobacillales,ERR260165,0.058362369
Leuconostocaceae,Lactobacillales,ERR260165,0.410107464
Streptococcaceae,Lactobacillales,ERR260165,0.148126634
Bacteroidaceae,Bacteroidales,ERR260166,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260166,0.135062129
Prevotellaceae,Bacteroidales,ERR260166,0.212317666
Rikenellaceae,Bacteroidales,ERR260166,0.284981091
Clostridiaceae,Clostridiales,ERR260166,0.116928447
Lachnospiraceae,Clostridiales,ERR260166,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260166,0.366127024
Ruminococcaceae,Clostridiales,ERR260166,0.164257228
Lactobacillaceae,Lactobacillales,ERR260166,0.050366032
Streptococcaceae,Lactobacillales,ERR260166,0.140890451
Bacteroidaceae,Bacteroidales,ERR260167,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260167,0.116689655
Rikenellaceae,Bacteroidales,ERR260167,0.269793103
Clostridiaceae,Clostridiales,ERR260167,0.116928447
Lachnospiraceae,Clostridiales,ERR260167,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260167,0.366127024
Ruminococcaceae,Clostridiales,ERR260167,0.164257228
Leuconostocaceae,Lactobacillales,ERR260167,0.32970297
Streptococcaceae,Lactobacillales,ERR260167,0.032013201
Actinomycetaceae,Actinomycetales,ERR260172,0.124920128
Corynebacteriaceae,Actinomycetales,ERR260172,0.336741214
Micrococcaceae,Actinomycetales,ERR260172,0.467731629
Bacteroidaceae,Bacteroidales,ERR260172,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260172,0.116689655
Rikenellaceae,Bacteroidales,ERR260172,0.269793103
Clostridiaceae,Clostridiales,ERR260172,0.105781368
Lachnospiraceae,Clostridiales,ERR260172,0.075662043
Ruminococcaceae,Clostridiales,ERR260172,0.153710247
Enterococcaceae,Lactobacillales,ERR260172,0.269208879
Lactobacillaceae,Lactobacillales,ERR260172,0.077382646
Leuconostocaceae,Lactobacillales,ERR260172,0.422026181
Streptococcaceae,Lactobacillales,ERR260172,0.165338645
Bacteroidaceae,Bacteroidales,ERR260173,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260173,0.135062129
Prevotellaceae,Bacteroidales,ERR260173,0.212317666
Rikenellaceae,Bacteroidales,ERR260173,0.284981091
