sample_id,PhyloMICOM01,MICOM01,PhyloMICOM07,MICOM07,PhyloMICOM1.5,MICOM1.5,,
ERR260132,0.089629152,-0.458254056,-0.183915936,-0.317486769,0.003589242,-0.220368977,,
ERR260134,0.507329077,0.773721378,0.60318427,0.375684461,-0.127624876,0.457614543,,
ERR260138,0.329646049,0.447183601,0.362086667,0.457139315,0.201656054,0.113657291,,
ERR260139,0.133089213,-0.597693443,0.26841458,-0.213148161,,,,
ERR260140,0.817421143,0.872817857,0.848827648,0.840896018,0.333450924,0.461278369,,
ERR260142,0.497977193,-0.138735378,0.133088899,-0.190524375,0.293749522,0.19430633,,
ERR260143,-0.250184372,-0.007789693,-0.48118014,-0.267540151,-0.342329016,-0.343082181,,
ERR260150,0.852238129,0.242273375,0.8898739,0.098838148,0.852699669,0.363387126,,
ERR260151,-1,-0.166473449,1,-0.163148954,0.6,,,
ERR260152,0.871097942,0.554526431,0.546419834,0.662335921,0.761217155,0.61201704,,
ERR260154,-0.148433406,-0.072863192,0.056186169,0.071645442,-0.210143097,0.053377798,,
ERR260158,1,0.069647546,0.2,0.068265816,0.2,0.5,,
ERR260161,0.887952215,0.830417375,0.877668231,0.758083576,0.557325367,0.678414435,,
ERR260162,0.545774788,0.415134482,0.54694929,0.466461849,0.458850936,0.40442309,,
ERR260164,0.747994138,0.456194069,0.704091234,0.365813208,0.652931021,0.548014301,,
ERR260165,0.605109771,0.416253722,0.296242255,0.232215205,0.268231051,,,
ERR260166,0.340344593,0.209579033,0.326970758,0.329225952,0.549507996,0.204094281,,
ERR260167,0.871678886,0.187950642,0.907306677,0.275164899,0.808873535,-0.05361468,,
ERR260172,0.607121517,0.399253192,0.6888032,0.293944187,0.645388633,0.213109952,,
ERR260173,0.302958959,0.334637074,0.482190742,0.24168609,0.782108303,0.259006898,,
ERR260174,0.772626934,-0.050367423,0.870106748,0.13163892,,0.013116641,,
ERR260177,0.994529555,0.311263945,0.984711685,0.378784592,0.998593235,0.331900057,,
ERR260180,0.848556127,0.760237872,0.872232003,0.868732281,0.891680944,0.616576493,,
ERR260181,0.970998366,0.934148458,0.940957329,0.806261637,0.968298807,0.963725418,,
ERR260182,0.921119999,0.601035579,0.686275042,0.583694859,0.881745423,0.686487262,,
ERR260185,0.613476007,-0.174051987,0.532557512,0.159879691,0.344187536,-0.500753945,,
ERR260186,0.636482665,0.254126738,0.467353627,0.34416017,0.695075112,-0.10354308,,
ERR260189,0.403400133,0.206704946,0.144005981,0.123282337,0.002843003,0.043473309,,
ERR260194,0.958882795,0.602090174,0.893300321,0.607506006,0.805231601,0.621669547,,
ERR260195,0.718390379,0.411707163,0.544432109,0.335552116,0.810682524,0.385544894,,
ERR260198,0.8331346,0.743831415,0.856563375,0.556489299,0.541067484,0.499943027,,
ERR260199,0.464869994,-0.146811174,0.420777742,-0.275222004,0.38754692,0.143720314,,
ERR260200,0.240261853,0.028299199,0.240749071,0.109110898,0.038833386,0.278373016,,
ERR260203,0.504895665,0.575450434,0.407246465,0.681959099,0.184254143,0.238612997,,
ERR260204,0.061633306,0.11093774,0.060436102,0.384554745,0.020714239,0.050687484,,
ERR260206,-0.140123472,0.001931178,0.217712404,-0.11723482,0.158643229,-0.447054651,,
ERR260214,0.860378134,-0.134413172,0.778949799,0.001473551,0.450770794,-0.038454614,,
ERR260218,0.887591228,0.59158095,0.897928442,0.559031043,0.96490774,0.557662869,,
ERR260222,0.93531313,0.961876597,0.912652132,0.967347385,0.945268902,0.970363855,,
ERR260223,1,0.309945574,,0.052730635,,-0.081002367,,
ERR260227,0.918479938,0.593182227,0.767441771,0.317943637,0.616251118,0.365016754,,
ERR260230,0.976185156,0.986242379,0.578036738,0.808281329,0.315290418,0.864737148,,
ERR260231,0.865636794,0.876677899,0.766590366,0.269784241,,0.371992723,,
ERR260235,0.936803946,0.955616047,0.938503956,0.846216779,0.98506565,,,
ERR260238,0.160746932,0.222279025,-0.127062663,0.092754197,0.029725174,0.097177776,,
ERR260244,0.557924782,0.106717996,0.47812113,-0.143682433,0.685027046,0.219117407,,
ERR260245,0.357622806,0.199342175,0.341050755,0.447851165,0.363523032,0.033611316,,
ERR260246,0.382945326,0.410547032,0.506766299,0.292156913,0.5158087,0.170163834,,
ERR260250,0.53108339,-0.78712511,0.172140986,-0.555266143,0.242707724,-0.60735878,,
ERR260251,0.845400589,0.883492499,0.795526758,0.766407726,0.846698289,0.812338843,,
ERR260252,-0.373419009,-0.524496815,-0.329603139,-0.195813839,-0.277902931,-0.086826408,,
ERR260258,0.823211692,0.373930542,0.853992739,0.776846845,0.933422158,,,
ERR260261,0.605937928,0.185344439,0.504529895,0.50232911,0.534851622,-0.209665832,,
ERR260270,0.649112102,0.172237347,0.749321904,0.420425319,0.347953587,0.728761094,,
ERR260275,,,,,,,,
ERR260276,0.011333008,-0.461119484,0.391676501,-0.360153116,0.117704131,0.085072417,,
ERR275251,0.880531152,0.758469496,0.868866486,0.400808639,0.820825704,0.652406472,,
ERR321108,1,0.435992988,1,0.585318545,,0.439082731,,
ERR321144,0.996440687,0.997247725,0.998807715,0.594822335,,,,
ERR321148,0.99444311,0.998852352,0.99314652,0.955719991,,0.996609283,,
ERR321150,,,,,,,,
ERR321172,,,,,,,,
ERR321182,-0.066092823,-0.437732204,-0.187389442,-0.22844345,-0.086390531,0.045460975,,
ERR321188,1,0.6,1,-0.6,,0.2,,
ERR321190,1,0.949789988,1,0.854370918,,,,
ERR321202,1,1,1,0.2,0.2,,,
ERR321204,-1,-1,-0.6,0.2,0.2,,,
ERR321208,1,1,1,1,,,,
ERR321221,0.845633486,0.887325557,0.547201983,0.877823687,,,,
ERR321229,1,,1,,,,,
ERR321239,1,0.990321519,1,0.981299145,1,0.960678417,,
ERR321243,,,,,,,,
ERR321247,1,-0.973694657,-0.2,-0.855463767,0.2,-0.265334393,,
ERR321251,,,,,,,,
ERR321252,1,0.847439828,0.2,0.960717541,,,,
ERR321316,,,,,,,,
ERR321358,1,1,1,,,,,
ERR321376,1,1,1,1,,,,
ERR321393,0.319503402,-0.132708743,0.434349677,-0.166455319,0.441374378,,,
ERR321428,1,1,1,,0.6,,,
ERR321432,,,,,,,,
ERR321480,1,0.996485451,1,0.523029141,,0.706334842,,
ERR321487,1,1,1,1,,,,
ERR321493,0.668772472,0.619163584,0.607863936,0.758307687,-0.159593622,0.643770372,,
ERR321519,1,1,-0.2,,,,,
ERR321537,,,,,,,,
ERR321548,0.626076746,0.584755618,0.604264628,0.483191793,0.581094519,0.263340909,,
ERR321553,0.194079089,-0.163621589,0.01760253,-0.19132736,-0.06100533,-0.589806367,,
ERR321560,0.996701804,0.531903148,0.834474098,0.405883477,0.547369456,0.180655719,,
ERR321562,0.975387545,0.839130763,0.538832564,0.564401746,0.63952148,0.944554659,,
ERR321567,0.987754357,0.993357875,0.985867109,0.990027104,,0.451237144,,
ERR321568,0.91190714,0.382271471,0.675634631,0.402936462,0.701873025,0.215890225,,
ERR321578,1,0.815831575,0.6,0.640885976,-0.2,0.641777254,,
ERR321584,0.87943083,0.487455043,0.86153153,0.575384927,0.901901787,0.305884903,,
ERR321587,0.995499679,0.814218856,0.900550554,0.754995073,0.916000558,0.629306981,,
ERR321589,0.876066571,0.749922583,0.477430895,0.82825163,0.839640288,0.96775436,,
